sku,product_code,image_url,status,description
,0.5W-13V,,"Eroare: Message: 
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:552:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",
,0.5W-6V8,,"Eroare: Message: 
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:552:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",
,BZV55C6V8,,"Eroare: Message: 
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:552:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",
,BZV85-C24.133,https://ce8dc832c.cloudimg.io/v7/_cdn_/A9/DC/00/00/0/52634_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=b6a3acaffb5ddbd15673a51756b4794cce0fae28,OK,
,BZV85-C3V9.113,https://ce8dc832c.cloudimg.io/v7/_cdn_/A9/DC/00/00/0/52634_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=b6a3acaffb5ddbd15673a51756b4794cce0fae28,OK,
,BZW06-19B-DIO,https://ce8dc832c.cloudimg.io/v7/_cdn_/64/32/01/00/0/1057606_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=71009d6e4c4cdf024f2012bd5bb8e20d0db349e5,OK,
,BZW06-23B,https://ce8dc832c.cloudimg.io/v7/_cdn_/64/32/01/00/0/1057606_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=71009d6e4c4cdf024f2012bd5bb8e20d0db349e5,OK,
,BZW06-33V,https://ce8dc832c.cloudimg.io/v7/_cdn_/64/32/01/00/0/1057606_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=71009d6e4c4cdf024f2012bd5bb8e20d0db349e5,OK,
,BZX55B18-A0G,https://ce8dc832c.cloudimg.io/v7/_cdn_/22/49/D0/00/0/889890_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=0dbca6ab15122da36e8dd5e97e58edc6d3575529,OK,
,BZX55B24-A0G,https://ce8dc832c.cloudimg.io/v7/_cdn_/3F/29/D0/00/0/889587_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=506629d0d58c3ef960a757ed482a300d3dc8a11a,OK,
,BZX55B4V7-TR,https://ce8dc832c.cloudimg.io/v7/_cdn_/5B/ED/00/00/0/57013_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=73546b8eb718172051a09dc90a57e8aa7d99bacc,OK,
,BZX55B5V1-A0G,https://ce8dc832c.cloudimg.io/v7/_cdn_/9F/29/D0/00/0/889593_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=cb8308bd9e8c34258c4b6fad82ca92710743aa76,OK,
,BZX55B7V5-A0G,https://ce8dc832c.cloudimg.io/v7/_cdn_/DF/29/D0/00/0/889597_1.jpg?width=640&height=480&wat=1&wat_url=_tme-wrk_%2Ftme_new.png&wat_scale=100p&ci_sign=d2b0f3b7a2ae6e09d98db224fc8fd0ff93c1186b,OK,
,BZX55C10,,"Eroare: Message: 
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:199:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:552:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",
